SPREAD,H,MAT,SAG,BIL,COL,MAS,DUN,REC,LV
28,1,18,16,32,10,47,41,-3.33333,11
5,-1,30,21,14,30,26,20,33.33333,4.5
-4,-1,80,88,86,75,83,89,80,23.5
-17,-1,37,28,17,25,9,21,-20,-3.5
-9,-1,39,30,34,55,43,31,55,2.5
3,-1,-58,-44,-33,-64,-35,4,-80,-10.5
2,-1,9,-3,-8,3,8,-10,0,-4.5
21,1,9,25,-14,-26,5,16,-16.66667,11.5
12,-1,26,6,9,55,18,-24,46.66667,-6.5
32,1,42,59,51,22,59,92,30,31.5
18,1,17,14,35,46,25,3,30,13
3,1,45,36,51,66,46,37,63.33333,14
1,-1,47,53,27,57,49,48,60,10
8,1,-33,-36,-43,-53,-44,-37,-33.33333,-5
4,-1,-25,-21,-23,-18,-13,-4,0,0
7,1,4,10,-15,-4,-1,-10,4.7619,9
22,1,15,25,19,3,11,11,16.66667,12
45,1,4,6,3,-6,2,9,-3.33333,6.5
12,-1,-3,-4,-9,-8,-7,-2,-33.33333,-3
6,1,-2,-3,-13,15,-2,-9,16.66667,0
17,-1,-17,-13,-17,-7,-14,-9,16.66667,-11.5
42,1,62,58,44,62,59,66,66.66667,34
10,1,-1,2,-1,1,-1,4,0,4.5
14,1,6,19,-2,3,11,14,0,19
3,-1,43,51,59,61,60,58,42.85714,9.5
19,-1,50,53,57,47,53,55,35.71429,21.5
7,-1,-4,-4,-6,-8,-7,1,-14.28571,-2
7,1,7,8,7,6,10,5,-5.71429,7.5
-21,-1,18,8,18,31,8,3,33.33333,-8
10,1,-5,-3,-7,-5,-6,-2,-20,-7.5
-11,1,-2,3,15,-14,-1,9,-16.66667,9.5
6,-1,26,15,35,30,28,28,16.66667,6
8,-1,-20,-19,-22,-21,-23,-18,-25,-18
-4,-1,48,52,68,55,45,21,19.04762,6
34,1,15,29,15,7,22,22,0,21
2,-1,25,21,36,35,14,-9,16.66667,-3.5
44,-1,23,30,30,15,33,62,16.66667,12
38,-1,76,82,57,84,76,59,71.42857,14
-2,-1,32,24,16,41,36,15,46.66667,6.5
15,-1,53,23,46,24,29,25,19.04762,3.5
7,-1,4,30,-4,-13,17,42,-14.28571,6.5
3,1,-2,-12,10,-1,3,-8,2.38095,6.5
25,1,-20,-22,-22,-42,-24,-19,-35.71429,-1
4,1,9,21,8,14,19,-14,21.42857,3.5
17,1,43,41,31,52,52,38,54.7619,16.5
24,1,18,14,-9,13,9,17,7.14286,7
-2,-1,40,44,17,46,34,24,40.47619,2.5
42,1,49,42,66,56,40,32,40.47619,22
1,1,75,82,64,82,71,72,83.33333,28
9,1,21,34,34,25,43,36,33.33333,17.5
14,-1,-4,4,-6,11,4,-11,10,-4
5,1,22,30,14,27,28,26,13.33333,5.5
7,-1,15,21,32,28,23,27,16.66667,7
26,-1,-7,-9,6,-23,-12,14,-16.66667,-1.5
3,1,-25,-8,-34,-39,-12,-16,-35.71429,4
44,1,39,44,49,56,45,50,60,20.5
14,1,16,3,4,16,7,-3,14.28571,4.5
4,1,18,15,20,32,10,2,28.57143,8
-3,-1,35,44,35,48,46,68,40.47619,6
19,1,-18,-9,-54,-38,-20,-27,-33.33333,2.5
9,-1,34,27,24,24,20,33,9.52381,8.5
3,-1,-15,5,-12,-28,-8,-15,-14.28571,1
21,-1,14,13,22,8,14,45,0,9
10,-1,1,-7,-3,8,-2,-24,26.19048,-12
5,-1,27,23,5,19,20,23,0,10
26,1,12,13,10,10,8,11,-8.57143,10.5
36,1,9,10,-4,5,14,9,0,7.5
14,-1,14,9,11,13,11,23,16.66667,7.5
-4,-1,4,6,-1,-1,3,2,-2.38095,-3
5,1,5,2,10,-16,7,6,11.90476,8
-3,-1,2,-8,3,-20,1,1,-16.66667,4
38,1,95,101,81,85,100,101,71.42857,42
44,-1,71,75,75,81,70,76,71.42857,29
58,1,72,79,73,84,78,71,57.14286,35
14,1,37,40,49,39,39,39,32.14286,13.5
39,-1,62,76,73,59,75,80,58.92857,32
18,1,31,36,39,39,42,25,30.35714,11
10,-1,42,40,37,50,35,19,40.47619,7.5
58,1,109,110,106,112,112,106,73.21429,41
25,-1,2,3,-3,-1,3,4,2.38095,-2
33,1,63,64,78,49,71,60,30.35714,23.5
-14,-1,13,17,2,10,19,30,-2.38095,1
6,1,-5,-5,-2,-6,-4,-6,1.78571,-3.5
14,-1,-10,-8,23,6,-5,-8,14.28571,-4.5
-2,-1,32,25,29,38,25,25,19.04762,6
28,1,21,30,36,9,15,14,0,15
14,-1,25,26,11,6,23,35,0,8
-31,-1,66,72,61,74,73,69,57.14286,18.5
39,-1,-2,-6,-22,-24,-11,-9,-28.57143,6.5
12,1,-9,-6,-23,-24,-9,14,-30.35714,5
22,1,44,50,40,40,46,30,50,14.5
3,-1,13,12,19,14,21,3,14.28571,2.5
45,-1,72,72,69,95,71,53,65.27778,11.5
3,1,14,15,-5,-3,10,18,-5.35714,6.5
2,-1,-7,-10,2,-20,-11,-13,-28.57143,-6
-7,-1,20,21,3,11,13,12,-8.92857,-4
21,-1,46,45,44,56,48,35,35.71429,13
24,-1,62,62,54,68,60,63,57.14286,17
24,1,43,46,32,46,41,44,42.85714,12.5
-6,-1,23,27,-7,31,20,28,12.69841,0
28,-1,26,33,12,46,28,14,33.92857,1
-3,1,-5,-3,11,-12,2,-11,-3.57143,4
-6,-1,8,4,27,4,3,6,5.35714,1
18,1,9,7,21,-13,7,5,-33.33333,2
35,1,-32,-30,-26,-45,-25,-11,-40.47619,-3
4,-1,12,1,-16,4,7,11,5.35714,-3
7,-1,28,29,6,-14,37,59,0,3
14,-1,10,9,31,21,19,18,37.5,3
39,1,24,28,15,40,28,29,62.5,11.5
48,1,43,42,44,47,36,24,46.42857,23
40,1,6,17,1,15,19,42,25,17
5,-1,29,30,9,31,26,30,17.85714,2.5
17,1,44,50,31,47,46,39,28.57143,26
3,1,-9,-4,15,-5,-3,-10,2.38095,7.5
