SPREAD,H,MAT,SAG,BIL,COL,MAS,DUN,REC,LV
10,1,-21,-3,-12,-25,-7,-12,-10,3
-14,-1,40,31,22,36,32,1,38.09524,-3
30,1,38,38,29,39,37,11,33.33333,12.5
2,1,-25,-17,-4,-22,-15,-26,-16.66667,-5
-3,1,-22,-13,-26,-28,-9,-13,-16.66667,-1
7,1,-38,-41,-24,-49,-42,-28,-22.85714,-6
14,1,34,41,21,30,45,46,21.42857,16.5
-8,1,-59,-55,-52,-66,-54,-36,-50,-12.5
-10,-1,3,-4,9,-13,-8,-1,-11.42857,-3.5
4,-1,59,51,50,67,58,65,54.7619,9
34,1,41,58,39,42,50,56,19.04762,31.5
-6,1,-10,-11,-15,-1,-10,-25,-16.66667,3
16,-1,73,74,56,77,71,38,57.14286,6.5
5,1,41,62,45,26,52,62,14.28571,31
12,1,56,58,58,71,57,46,50,16
-1,1,37,32,21,34,30,5,26.19048,13.5
28,-1,67,66,65,80,66,63,69.04762,19
-3,1,15,14,3,21,15,6,16.66667,0
23,-1,-11,-13,12,-27,-9,35,-16.66667,3
-14,1,-57,-67,-36,-56,-62,-47,-50,-19.5
-16,-1,16,21,29,-1,9,29,-13.33333,-3.5
10,1,83,96,84,83,91,82,42.85714,32
22,1,20,23,51,12,24,45,19.04762,21
-25,-1,-3,-5,-7,7,-4,-3,3.33333,-12
35,1,65,71,65,60,72,76,66.66667,28.5
-7,1,-43,-39,-30,-56,-38,-26,-50,2
14,1,-5,2,-2,-7,1,5,0,10
59,1,40,54,36,41,51,42,50,27
14,-1,11,2,17,-14,4,36,0,3
6,-1,4,6,13,-3,13,20,14.28571,5.5
8,1,-49,-43,-35,-44,-45,-46,-38.09524,-7
-5,-1,-29,-24,-40,-26,-24,-28,-16.66667,-11
55,1,40,45,5,21,39,37,42.85714,31.5
14,-1,81,87,72,72,81,77,57.14286,27.5
6,-1,-26,-27,-24,-43,-32,13,-40.47619,-11.5
-30,-1,-7,-2,-34,-14,-12,-11,-16.66667,-6
19,1,56,61,31,47,51,61,35.71429,20.5
-3,1,33,36,27,42,31,38,23.80952,9
9,-1,26,27,6,46,26,9,16.66667,10.5
17,1,-28,-35,-18,-47,-26,-18,-9.52381,-11.5
-3,1,38,32,19,43,33,35,23.80952,21.5
-19,1,-35,-40,-24,-33,-38,-35,-40.47619,-16
6,-1,15,7,9,20,14,19,33.33333,3.5
-4,-1,23,17,21,43,19,13,50,4
-49,-1,-60,-60,-27,-44,-48,-44,-40.47619,-24
7,-1,9,5,-5,17,7,-2,33.33333,-7.5
11,1,108,106,90,96,101,92,58.33333,40.5
-17,-1,2,-1,3,1,-1,1,0,2.5
11,1,6,10,11,4,8,8,0,9
16,1,17,24,9,11,24,35,-19.04762,10.5
34,1,51,60,66,57,65,82,42.85714,41
1,-1,19,24,21,21,25,29,14.28571,5.5
3,-1,-21,-11,-13,-33,-13,21,-37.5,1.5
-4,-1,8,10,-8,10,13,-10,14.28571,-3
11,-1,37,36,32,37,38,28,42.85714,12
-3,1,-39,-38,-27,-46,-36,-41,-42.85714,-7
-29,-1,-44,-45,-35,-61,-39,-27,-42.85714,-13
22,1,44,44,22,33,43,43,12.5,18.5
44,-1,19,22,17,10,21,29,4.16667,18
3,1,34,37,44,31,31,29,16.66667,15
3,-1,-10,-18,-12,-7,-22,-18,-14.28571,-5.5
-16,-1,3,15,23,16,15,19,16.07143,5.5
6,-1,18,14,12,11,13,-10,5.35714,-3
12,1,31,36,27,34,34,32,25,17.5
-4,-1,10,7,4,10,2,-4,10.71429,-1.5
3,1,56,47,34,47,47,51,28.57143,14
-12,1,30,27,25,28,22,6,14.28571,9
-2,-1,-12,-21,-5,-16,-15,-32,-8.33333,-9.5
-11,-1,-12,-7,-2,-5,-6,-2,-14.28571,-5
29,1,32,37,42,29,40,55,14.28571,22
3,-1,-3,-3,39,-20,2,20,-7.14286,4
19,1,40,45,15,62,42,16,42.85714,10
-9,1,-59,-60,-19,-53,-52,-23,-45.83333,-8
3,-1,-24,-26,-13,-33,-27,-8,-28.57143,-11.5
-6,1,-52,-46,-45,-55,-47,-48,-37.5,-15
-7,-1,-4,-13,11,-24,-11,4,-21.42857,0
3,1,-8,-3,40,13,13,-1,9.52381,9.5
3,-1,25,31,26,9,21,37,28.57143,8
3,1,56,50,51,39,48,56,0,13
21,-1,73,80,43,72,79,73,85.71429,18.5
3,-1,-9,-3,-16,-6,-5,-2,-5.35714,2
12,-1,52,47,33,63,48,37,57.14286,8.5
-3,1,24,30,14,7,24,12,0,13.5
3,-1,73,76,68,52,74,80,40.47619,17.5
-30,-1,9,-6,-13,7,-10,-6,14.28571,-5
-26,-1,-72,-76,-80,-70,-75,-64,-23.80952,-27.5
37,1,71,76,64,66,79,51,71.42857,22.5
-6,1,-18,-8,-10,-19,-5,11,-8.92857,5
63,1,55,67,29,64,57,62,42.85714,34.5
-42,1,-85,-86,-60,-94,-91,-90,-73.21429,-24
13,-1,5,9,2,-1,10,9,14.28571,-4
4,-1,20,19,5,48,20,10,28.57143,4.5
14,1,-8,-1,-3,-3,-1,-2,0,13.5
13,1,6,8,13,11,15,16,42.85714,5
20,1,-4,2,-2,-7,-2,2,-14.28571,9.5
39,1,67,66,46,54,60,51,37.5,31
23,-1,88,91,58,89,91,70,62.5,18.5
10,-1,9,23,21,15,25,43,0,6.5
12,-1,10,16,10,1,17,28,8.33333,10.5
3,-1,56,52,51,68,61,47,50,9.5
2,-1,50,49,59,29,47,63,7.14286,11
49,-1,87,85,93,92,85,99,75,39
7,1,7,14,6,9,8,-25,12.5,8
7,1,-27,-39,-32,-25,-39,-39,-21.42857,-6
-2,-1,-25,-18,-10,-34,-19,-26,-25,-8
2,1,25,14,29,31,13,13,25,3
-3,-1,5,-1,12,-8,-1,8,0,7.5
4,-1,-24,-13,-16,-31,-14,25,-14.28571,3
18,1,54,58,28,51,59,49,42.85714,26.5
47,1,14,19,5,8,16,14,0,19.5
46,1,11,24,30,12,24,46,2.77778,18
3,1,18,17,10,35,21,6,25,7
-24,-1,-37,-36,-38,-47,-42,-40,-43.05556,-7.5
14,1,36,48,27,33,42,38,25,14.5
21,-1,-12,-28,-38,-1,-30,-38,-10.71429,-12.5
6,-1,-28,-18,-38,-33,-27,-42,-25,-3
5,-1,79,71,54,79,75,80,46.42857,15
-14,1,4,11,5,-8,-6,-9,-14.28571,0
3,-1,-36,-41,-14,-34,-41,-40,-33.92857,-7.5
28,1,31,27,13,14,27,32,12.5,9.5
7,-1,24,22,40,24,24,36,25,7.5
3,-1,-18,-24,-31,-35,-37,-52,-33.33333,-17
22,1,-10,-15,-12,-26,-12,-16,-25,-2.5
28,-1,45,56,39,57,61,55,75,14
14,-1,11,18,35,9,17,8,25,5
6,-1,51,41,41,60,42,36,50,6.5
-4,1,-37,-40,-9,-26,-33,-31,-44.44444,-6.5
21,1,17,6,8,19,5,-19,0,5
2,1,-8,-3,7,-8,-1,4,0,5
3,1,-31,-35,-14,-20,-27,-34,-12.5,-6
56,-1,12,12,13,-4,14,21,0,10.5
-3,-1,39,37,64,32,41,51,33.33333,13
-1,1,17,20,-4,32,25,16,30.55556,6
29,1,7,9,15,9,8,9,0,9
12,1,-19,-5,-18,-30,-18,-32,-25,5
18,-1,50,51,47,71,51,56,46.42857,6.5
-3,-1,1,2,4,8,1,4,-1.38889,7
14,-1,37,33,30,40,33,19,48.21429,7.5
39,-1,60,73,65,43,71,84,37.5,22
-2,1,-26,-25,-12,-32,-17,-14,-12.5,-13.5
7,-1,-6,-8,1,-2,-6,-5,12.5,-7
-23,1,-72,-74,-39,-75,-77,-69,-62.5,-25
18,1,-9,-5,-11,-4,-9,-12,0,3
-16,-1,-2,-2,1,-3,-1,1,0,-10
3,-1,1,1,-5,-1,1,2,-12.5,-2.5
28,1,45,51,36,42,47,37,25,21.5
-1,-1,8,3,5,9,5,4,8.88889,4
20,1,17,26,15,18,25,23,11.11111,14
-8,1,-17,-10,-2,-35,-11,26,-33.33333,5.5
35,-1,40,57,34,32,52,50,33.33333,11.5
8,1,48,39,54,59,46,30,55.55556,13
43,1,25,32,12,28,36,44,12.5,13.5
4,-1,14,12,13,19,13,14,22.22222,9.5
-3,1,-41,-39,-36,-45,-33,-33,-22.22222,-8.5
-3,-1,8,11,-3,10,9,-10,11.11111,-7
22,1,-5,-7,-3,-20,-8,-9,-22.22222,1.5
6,-1,-14,-19,1,-22,-16,11,-11.11111,-12
11,-1,8,13,3,7,4,19,-8.33333,-2.5
22,1,47,43,32,40,41,36,26.66667,15.5
19,-1,27,30,27,16,34,47,5.55556,10
-17,-1,-20,-22,-39,-17,-22,-13,-25,-13.5
-3,-1,4,8,8,-9,6,16,-2.77778,-1.5
29,-1,99,108,83,97,105,96,77.5,48
23,-1,62,61,77,60,55,56,18.88889,12.5
-7,-1,-14,-21,-11,-15,-22,-11,-22.22222,-7
58,1,42,42,29,51,48,38,35,10
21,1,78,66,60,87,66,67,65.27778,20
-22,-1,-45,-41,-38,-60,-48,-21,-41.66667,-6.5
-12,-1,-29,-32,-32,-29,-31,2,-8.33333,-8.5
20,1,5,9,11,-7,10,11,0,6
4,1,64,72,51,68,72,46,62.5,18.5
20,1,2,3,4,-3,2,12,1.38889,14.5
35,1,16,35,23,18,32,44,12.5,9.5
10,1,-58,-60,-51,-74,-61,-60,-57.77778,-12
34,-1,36,38,32,23,35,48,22.22222,15
-2,1,-36,-36,-19,-28,-30,-21,-33.33333,-9.5
28,1,26,37,20,19,30,8,22.22222,16.5
28,1,65,75,57,34,75,81,44.44444,31
24,-1,9,11,12,24,20,13,33.33333,0
20,1,-40,-42,-27,-40,-44,-51,-33.33333,-7.5
-21,1,-52,-37,-26,-57,-40,-32,-26.66667,-7
-4,-1,34,30,29,42,34,38,22.22222,3
23,-1,12,12,19,12,14,26,8.88889,23
42,1,49,39,26,46,39,43,29.16667,15
3,-1,27,34,42,7,25,36,8.33333,9.5
-4,-1,9,-2,3,11,4,6,5.55556,-8.5
-17,-1,-49,-58,-21,-60,-61,-48,-44.44444,-13.5
3,-1,17,14,12,26,18,2,11.11111,1.5
-7,-1,47,61,27,51,53,65,33.33333,14.5
25,-1,1,2,16,-2,2,8,0,12
7,-1,53,40,48,47,39,37,12.5,14
-4,-1,92,94,72,104,97,99,77.77778,34.5
-4,1,26,21,1,4,17,8,0,6.5
-25,-1,-1,1,-4,2,4,-12,22.22222,-8
4,1,-3,-4,-7,-4,-6,-10,-11.11111,2.5
35,1,20,21,12,23,18,24,22.22222,28.5
-3,-1,-8,-10,2,-26,-6,7,-11.11111,-7
12,1,14,20,18,28,26,19,44.44444,13.5
26,-1,40,39,38,40,38,30,33.33333,13
-23,-1,-2,-3,-1,-1,-3,-2,-0.90909,-12
-10,-1,-1,-4,1,4,-4,-4,0,-5.5
39,1,49,54,49,61,61,64,46.66667,19.5
14,1,41,40,31,43,36,27,36.36364,24.5
-38,-1,-22,-24,-5,-31,-28,-21,-20,-7.5
-13,1,-40,-46,-32,-35,-45,-47,-27.77778,-10
6,-1,17,12,17,21,17,10,10,-1.5
-48,1,-45,-38,-42,-58,-42,-27,-50,-7.5
12,-1,-4,-6,-11,-15,-5,10,-10,-2
7,1,41,51,28,42,52,49,25.55556,18
18,1,28,31,5,7,19,19,0,8
-3,1,29,23,34,40,27,8,20,3
-2,-1,-3,-12,-9,-16,-15,-9,-10,-8
4,-1,66,73,70,81,74,82,51.81818,21.5
24,1,2,-7,2,12,-6,-2,-5.45455,6
19,-1,63,59,54,74,64,66,50,11
7,-1,-52,-58,-27,-58,-58,-71,-33.33333,-19
-9,1,-45,-28,-31,-62,-41,-16,-50,1
38,-1,44,35,51,57,46,46,50,12
-10,-1,8,-3,15,7,3,10,0,-3
21,1,32,36,11,32,33,10,30,8.5
-7,-1,10,19,-12,16,18,-3,11.11111,0
17,1,7,2,-8,4,2,-4,-5.05051,0
-3,-1,-8,-12,-22,-12,-19,-5,-22.72727,-13.5
42,1,35,41,33,10,38,29,30,14.5
28,-1,79,81,73,79,81,80,44.44444,22
-19,-1,34,25,29,33,27,24,13.63636,0
28,1,46,56,32,66,51,31,40,16.5
7,-1,28,30,38,24,32,34,15.55556,8.5
24,1,66,74,55,79,77,56,70,29
23,-1,5,-1,14,8,3,11,11.11111,-2.5
-18,-1,2,10,-1,-4,10,31,11.11111,3.5
-3,-1,28,30,36,18,29,30,17.77778,5.5
1,-1,25,23,22,35,22,18,30,21.5
28,1,-2,6,23,-3,7,15,2.22222,16.5
3,1,37,37,26,30,42,51,40,25
33,1,14,8,39,2,4,14,8.88889,12.5
-6,-1,21,19,17,17,23,22,20,9.5
34,1,39,48,12,40,25,34,30,25
20,-1,44,38,21,56,39,33,48.88889,7.5
-23,-1,3,3,4,-12,1,15,-10,1.5
21,1,25,23,30,35,32,19,36.66667,9.5
28,1,59,70,42,67,61,65,50,26
7,1,-18,-19,-14,-20,-16,-15,-10,-11
29,1,20,16,-2,27,17,6,10,16.5
-11,-1,60,55,43,60,58,48,40,9
46,1,43,46,40,45,47,32,30,27
2,1,56,49,51,66,50,63,50,26.5
26,1,-7,1,-3,-4,4,1,10,5.5
2,-1,55,60,48,53,59,65,40,18
5,-1,82,78,71,93,79,81,70,26
-11,-1,28,24,9,33,26,34,20,3
28,1,39,58,46,39,56,63,20,25
31,-1,5,-6,1,-5,-5,16,-3.63636,0
-12,1,-3,-7,-11,-18,-10,-8,-10,0
21,1,33,49,27,32,34,53,30,20.5
7,-1,5,1,-8,18,3,-22,5.45455,-6
-17,1,-26,-27,-30,-45,-33,-31,-34.54545,0
18,1,51,57,32,52,53,21,40,15
-16,1,-77,-74,-67,-71,-70,-68,-33.63636,-19.5
15,1,-26,-36,-9,-28,-28,-28,-10,-6.5
-34,-1,-77,-85,-60,-84,-88,-72,-70,-24.5
10,1,-10,2,15,-12,2,-10,0,6
5,-1,-9,-16,-11,-11,-20,-18,-10,-6
-13,1,10,16,12,9,17,33,0,6
7,-1,12,14,6,13,17,9,20,5.5
-35,-1,-9,-12,-5,-13,-18,-16,-18.18182,-12.5
22,0,13,15,14,6,13,18,0,9.5
3,0,6,7,6,8,8,9,16.66667,2.5
5,-1,-46,-51,-20,-47,-43,-46,-27.27273,-6.5
-2,1,-32,-34,-20,-25,-35,-9,-27.27273,-7
-2,-1,5,9,10,1,10,8,10,2
17,0,3,4,1,3,4,2,7.57576,6
49,0,11,17,25,9,15,3,9.09091,14
-5,0,-3,4,1,-15,5,11,0,7.5
-14,0,-18,-16,-9,-13,-14,-2,-4.1958,-3.5
11,0,-1,-2,1,-1,-1,-2,8.33333,-11.5
14,0,-22,-34,-17,-24,-31,-26,-18.18182,-9
3,0,7,11,5,-2,6,12,-2.27273,7.5
-3,0,10,13,-33,2,10,-4,-9.09091,1
23,0,22,26,12,9,21,38,9.09091,9.5
21,0,8,10,8,7,9,16,9.09091,5.5
-1,0,-1,-7,-28,-7,-10,-36,-12.12121,-6
17,0,-13,-11,-6,-21,-12,-3,-9.09091,-6.5
10,0,12,11,11,14,14,8,18.18182,-2
-13,0,-6,2,26,-12,12,24,-5.30303,1
-5,0,6,6,21,8,3,22,0,0
-2,0,13,8,10,6,14,16,0,1.5
-17,0,19,9,49,9,13,42,-3.78788,0
14,0,-27,-10,-11,-14,-13,7,0,-3.5
11,0,-15,-11,-37,-14,-13,-21,-5.30303,-3
8,0,11,9,-5,10,10,-11,9.09091,-2
8,0,4,7,1,19,14,-25,9.09091,-3.5
15,0,-2,-3,7,-17,-4,-2,9.09091,7.5
-32,0,-5,-9,-7,-3,-7,-6,-9.09091,-3.5
7,0,-36,-28,-41,-36,-32,-56,-27.27273,-7
-11,0,1,-7,28,-7,-1,36,9.09091,3.5
-7,-1,49,32,17,31,60,45,35,14
7,-1,28,40,41,8,40,57,5,10
5,-1,50,49,39,46,52,48,35,10
-31,-1,-46,-39,-19,-19,-59,-42,10,-12.5
-6,-1,-22,-23,-22,-20,-11,-29,-5,-11.5
-20,-1,-2,-4,1,-18,-6,-6,-20,-9
-32,-1,-72,-77,-80,-62,-70,-72,-55,-30
-10,-1,39,47,35,80,61,33,100,14
-10,-1,-62,-44,-44,-46,-59,-61,-25,-13.5
19,-1,13,10,14,4,13,12,20,17
-3,-1,-17,6,13,20,-2,19,0,-7
-4,-1,26,19,9,15,39,35,-10,1.5
-31,-1,31,32,36,53,21,29,15,4
7,-1,-63,-75,-53,-76,-83,-59,-60,-17
21,-1,43,37,42,50,56,56,30,14
-17,-1,-20,-29,-14,2,-35,-19,25,-10.5
-35,-1,-34,-44,-29,-28,-28,-50,-25,-30
-41,-1,-93,-80,-87,-96,-86,-86,-60,-29.5
-40,-1,-13,-23,-9,-10,-19,-17,-30,-19
20,-1,34,29,32,41,49,37,60,8
-44,-1,-16,-29,-28,-10,-10,-42,0,-21
-42,-1,-47,-54,-24,-65,-37,-35,-35,-28
3,-1,-11,2,-25,-18,14,18,0,0
24,-1,-34,-12,6,-39,-34,-31,-30,-3
-10,-1,-24,-16,-12,-45,-31,-22,-50,-14
14,-1,33,35,39,36,32,23,20,7
-3,-1,-1,3,8,5,1,5,0,2.5
-52,-1,-47,-66,-62,-36,-54,-57,-30,-36
2,-1,26,14,31,40,27,30,40,3
-7,-1,34,-3,27,46,19,16,25,-12.5
7,-1,4,2,-1,-28,-7,8,-40,-4
3,-1,-74,-64,-43,-59,-70,-63,-35,-24.5
3,-1,-49,-44,-51,-22,-52,-50,-15,-15
-7,-1,-36,-31,-18,-56,-40,-43,-50,-17
-18,-1,-44,-38,-34,-18,-43,-44,-25,-20
-17,-1,-12,3,-6,2,1,-7,0,-8
-13,-1,7,6,11,-1,8,20,-20,-1.5
-10,-1,1,5,-15,-10,26,-5,8.33333,-5
-5,-1,45,11,9,37,36,14,20,-3.5
24,-1,64,59,76,69,48,87,75,28
-3,-1,32,6,8,22,23,15,20,-2.5
19,-1,-11,17,7,-45,6,-40,-40,0
-42,-1,15,14,8,33,22,21,35,-5.5
-7,-1,58,35,21,35,56,57,15,-1
-14,-1,-32,-21,-11,-60,-30,-24,-40,-9.5
17,-1,-23,6,-6,-51,-5,8,-50,2
-20,-1,-22,-17,-21,-19,-25,3,0,-3.5
-7,-1,-42,-22,-6,-45,-37,-22,-30,-12
38,-1,96,98,71,103,107,85,100,31
26,-1,3,14,12,-8,-8,15,-25,2.5
3,-1,34,20,18,23,24,26,35,8.5
3,-1,-25,-3,30,-40,-15,10,-40,2.5
-10,-1,73,65,51,63,74,69,66.66667,14.5
-25,-1,-72,-90,-54,-69,-71,-58,-40,-22.5
6,-1,12,12,12,8,6,13,-3.33333,3
3,-1,10,7,9,-8,4,11,0,-5.5
21,-1,-75,-60,-23,-53,-56,-56,-20,-10
-24,-1,-70,-73,-56,-49,-76,-61,-20,-24.5
-7,-1,37,26,16,41,31,42,46.66667,7
-30,-1,-6,-9,-12,-37,-9,-7,-33.33333,-3.5
24,-1,81,41,68,84,57,51,40,15.5
-28,-1,-50,-51,-24,-69,-53,-34,-66.66667,-33
17,-1,-27,-40,-20,-12,-36,-63,-10,-13
12,-1,1,2,10,-41,-8,-25,-40,-2
-21,-1,57,42,28,52,41,45,20,5
18,-1,24,35,28,46,37,25,33.33333,16
10,-1,3,-30,36,1,4,35,13.33333,7.5
7,-1,55,64,51,67,73,69,60,17
8,-1,8,-11,-49,37,-3,-38,40,-6.5
6,-1,36,27,37,39,35,36,43.33333,7.5
-59,-1,-31,-57,-40,-33,-51,-41,-16.66667,-14.5
-2,-1,10,14,-5,16,10,-12,-13.33333,-4.5
3,-1,-15,8,9,-5,2,-16,0,-7
-17,-1,-81,-96,-74,-78,-83,-82,-46.66667,-31.5
-26,-1,-15,-12,-10,-27,-30,-32,-26.66667,-4.5
-16,-1,-40,-56,-60,-31,-47,-57,-23.33333,-28
1,-1,-23,-29,-24,-2,-13,-7,16.66667,2.5
7,-1,50,56,44,63,58,40,50,23.5
-24,-1,18,22,8,25,20,27,33.33333,2.5
-24,-1,-58,-78,-53,-74,-72,-62,-43.33333,-30.5
30,-1,18,17,32,20,17,34,20,1.5
4,-1,-5,2,-11,2,-3,4,0,-2
-1,-1,-13,-15,5,2,-7,-1,13.33333,-1
-13,-1,-21,-28,-10,-19,-23,-18,-33.33333,-11
-4,-1,11,3,-3,-20,3,-6,0,-8
-4,-1,35,43,32,9,26,36,-20,3.5
-46,-1,-21,-40,4,-14,-37,-7,-20,-20
7,-1,-29,-16,-19,-66,-22,-7,-26.66667,-6
-42,-1,-35,-21,-2,-30,-16,-8,0,-10
-34,-1,-37,-45,-31,-34,-52,-52,-60,-22.5
-1,-1,-22,-19,-15,-4,-21,-17,10,-8
-62,-1,-9,-9,-9,-2,-5,-8,-16.66667,-12.5
-13,-1,-29,-18,-57,-30,-36,-28,-16.66667,-22.5
-39,-1,-32,-28,-15,-20,-32,-45,-20,-17
6,-1,-5,6,-21,-4,-9,-4,0,-4
-40,-1,-76,-83,-79,-87,-82,-75,-60,-29.5
21,-1,-15,-3,-23,-22,-12,3,-16.66667,0
-23,-1,-41,-39,-46,-40,-58,-34,-40,-31
18,-1,48,42,44,58,45,47,26.66667,23
6,-1,1,-13,-19,37,-4,-1,38.09524,-10
-44,-1,-6,5,-39,-5,14,-26,0,-6.5
4,-1,-7,1,-8,-17,-8,-2,-19.04762,0
-28,-1,-46,-45,-21,-69,-55,-32,-71.42857,-18
-3,-1,-1,-5,-3,-5,-1,-5,0,-6.5
29,-1,56,42,54,46,43,58,33.33333,18
-8,-1,-56,-48,-61,-49,-56,-64,-33.33333,-17.5
4,-1,-51,-54,-25,-47,-52,-10,-16.66667,-3
11,-1,-21,-24,-3,-29,-35,-10,-16.66667,-2.5
7,-1,-6,-4,-5,17,-12,-12,-16.66667,-11
3,-1,13,14,26,33,20,30,50,16
14,-1,27,20,9,58,24,43,50,5
-6,-1,33,20,14,34,18,-14,9.52381,-4.5
6,-1,-59,-40,-52,-59,-43,-63,-33.33333,-24.5
7,-1,1,-8,19,10,11,19,26.19048,2.5
23,-1,25,32,32,32,34,27,40,6.5
-43,-1,-11,-8,-4,-26,-8,-9,-28.57143,-14
-15,-1,-12,-5,-2,-15,-2,6,-11.90476,-4
-1,-1,-63,-62,-29,-64,-74,-57,-66.66667,-15
11,-1,46,56,27,64,56,23,33.33333,5.5
24,-1,2,3,-5,1,8,2,14.28571,-3
56,-1,100,108,70,103,107,88,100,44
3,-1,51,47,50,-14,28,66,-43.33333,18
-30,-1,12,7,4,17,7,-5,14.28571,-2
-21,-1,52,59,44,55,58,43,21.42857,8
-4,-1,17,20,17,19,21,15,28.57143,9
-35,-1,3,-6,13,-14,-7,-8,-23.80952,2
-17,-1,-2,-9,-20,-3,-6,-27,16.66667,-6.5
-38,-1,-21,-19,-16,-49,-31,-19,-50,-9
7,-1,22,27,23,41,35,5,40.47619,-2
3,-1,-12,-14,9,-9,-15,-15,-26.19048,-3
3,-1,-9,14,-3,-48,-11,12,-21.42857,-3
6,-1,8,9,5,11,12,8,28.57143,4
23,-1,48,52,18,50,50,32,50,15
-22,-1,-47,-39,-11,-76,-47,-18,-40.47619,-6.5
4,-1,-7,-11,-17,23,-2,-5,16.66667,-7.5
-3,-1,-22,-22,-12,-10,-22,-34,-16.66667,-17
14,-1,1,-7,6,-6,4,6,-3.33333,3
-45,-1,32,14,16,34,8,3,23.33333,3.5
-21,-1,-18,-36,-3,-36,-35,16,-7.14286,0
28,-1,27,22,41,33,32,45,33.33333,8.5
-1,-1,-39,-14,-16,17,-14,-50,-14.28571,-10.5
-45,-1,-34,-30,-25,-47,-41,-33,-33.33333,-10
-48,-1,3,-4,-9,4,-10,-13,-7.14286,1
-28,-1,-18,-20,-9,-28,-33,-15,-33.33333,-7
1,-1,58,50,30,67,54,31,57.14286,4.5
4,-1,2,8,18,-4,3,57,0,3
-12,-1,-19,-15,-31,-20,-24,-3,-16.66667,-7.5
-7,-1,29,38,15,37,39,23,12.5,-1.5
-7,-1,-23,-11,-27,-31,-17,-21,-30.35714,-8
-9,-1,-30,-16,-12,-26,-18,-28,-29.16667,-13.5
26,-1,21,15,18,37,22,19,33.33333,3.5
-3,-1,-13,-24,6,3,-12,2,-12.5,-8
-24,-1,1,-12,1,-11,-10,-12,-33.92857,-7.5
-41,-1,-97,-101,-88,-99,101,100,-87.5,-38
6,-1,8,1,-8,12,8,17,41.66667,-3
1,-1,-36,-47,-33,-32,-37,-57,12.5,-19
-21,-1,-1,-3,1,2,-5,-3,-22.22222,-14
-24,-1,-1,-6,1,7,-2,-2,-8.33333,-5.5
10,-1,-15,-13,6,-36,-27,23,-25,-4
9,-1,10,17,4,-4,13,4,0,4.5
3,-1,-38,-48,-27,-58,-59,-34,-37.5,-9.5
16,-1,36,20,44,38,22,40,37.5,4.5
-25,-1,-2,13,-25,29,19,-6,0,-8
16,-1,16,27,12,6,22,11,12.5,14.5
25,-1,15,20,36,29,27,40,50,13.5
14,-1,57,35,28,44,34,59,54.16667,14.5
-28,-1,40,38,21,38,51,41,12.5,5
-30,-1,-61,-64,-60,-71,-70,-67,-54.16667,-22.5
17,-1,48,46,56,66,55,41,37.5,6
-4,-1,-9,-14,-9,-2,-13,-11,-22.22222,-10.5
42,-1,19,19,-16,-12,11,17,0,0
3,-1,53,61,34,51,45,55,30.55556,16.5
-10,-1,-6,-6,1,-8,-11,-7,-31.94444,-6.5
19,-1,28,42,16,52,48,33,50,4
-4,-1,-61,-60,-72,-65,-58,-74,-37.5,-27
7,-1,75,77,75,78,73,76,54.16667,32
-21,-1,6,1,15,23,6,-2,-5.35714,-8.5
-27,-1,-22,-21,-27,-14,-24,-45,-30.15873,-17.5
-13,-1,-9,-4,-6,-6,-1,-6,-12.5,-11.5
-32,-1,-82,-88,-64,-66,-90,-71,-55.55556,-26
12,-1,15,14,5,30,16,15,44.44444,7.5
-14,-1,37,40,20,15,40,38,-5.35714,4
-18,-1,-12,-21,-8,-23,-20,9,-32.14286,-11
14,-1,37,40,18,25,33,22,37.5,5
20,-1,29,28,48,39,28,35,50,16
5,-1,6,1,16,6,-6,4,4.16667,2.5
-25,-1,55,61,22,62,67,71,26.98413,10.5
-28,-1,-14,-21,3,-13,-22,-7,-25,-10
-16,-1,-15,-6,-1,-13,1,-4,-6.94444,-6.5
-23,-1,-87,-94,-76,-99,101,-87,-85.71429,-33.5
-10,-1,21,32,14,4,12,35,-12.5,5.5
-21,-1,-17,-5,-9,-10,2,4,-12.5,-1
-5,-1,2,7,3,13,8,-2,0,-3.5
3,-1,40,29,35,34,32,47,27.77778,10.5
20,-1,-8,4,9,-34,-12,3,-12.5,4.5
-27,-1,5,-6,13,4,2,31,0,-1
13,-1,56,49,61,58,47,70,50,22
-8,-1,-48,-47,-64,-40,-38,-52,-19.64286,-17.5
14,-1,7,11,2,-3,4,-1,11.11111,1
16,-1,62,68,59,56,61,77,40.27778,22
-1,-1,-19,-27,-13,-26,-26,-15,-37.5,-6.5
-9,-1,-8,-15,-11,8,-12,-6,4.16667,-9
10,-1,-5,-11,13,12,6,18,12.5,-6
-22,-1,3,5,-4,-17,2,2,-3.57143,1
-53,-1,-20,-21,-10,-40,-29,-25,-33.33333,-10
-28,-1,-20,-39,-17,-19,-31,-17,-14.28571,-15
-10,-1,-15,-21,-9,-32,-24,-20,-37.5,-11.5
-35,-1,-29,-33,-18,-17,-30,-35,-20.83333,-14
23,-1,57,38,40,81,48,33,50,6.5
-10,-1,-9,-23,-2,-6,-11,-24,-12.5,-9
-18,-1,-27,-31,-35,-13,-27,-29,0,-10.5
-6,-1,-34,-41,-27,-34,-34,-27,-37.5,-15.5
14,-1,49,38,38,57,39,50,19.64286,7.5
-51,-1,-35,-48,-40,-43,-47,-37,-25,-12
-19,-1,50,40,57,61,46,63,50,13
